0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:24 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835404894 HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:24 +0900] "GET /project2.1/chat/400/z4gwlc1b/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:30 +0900] "GET /project2.1/center/notice_detail/135 HTTP/1.1" 200 31538
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:30 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835410481 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:30 +0900] "GET /project2.1/chat/227/juceikn4/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:39 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835419124 HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:39 +0900] "GET /project2.1/chat/207/g2f3hjgs/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:41 +0900] "GET /project2.1/center/home_notice?page=10 HTTP/1.1" 200 32189
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:41 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835421489 HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:41 +0900] "GET /project2.1/chat/834/25ycheha/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:43 +0900] "GET /project2.1/center/notice_detail/83 HTTP/1.1" 200 32513
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:43 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835423748 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:43 +0900] "GET /project2.1/chat/712/npr2tase/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:47 +0900] "GET /project2.1/chat/info?self_name=%EA%B3%A0%EA%B0%9D2&t=1653835427691 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [29/May/2022:23:43:47 +0900] "GET /project2.1/chat/302/10cujyuq/websocket?self_name=%EA%B3%A0%EA%B0%9D2 HTTP/1.1" 101 -
